population,Electoral.Votes,index,state
39776830,55,0.26443032287892226,California
28704330,38,0.2531715598308687,Texas
21312211,29,0.2602245257425426,Florida
19862512,29,0.2792174524551578,New York
12823989,20,0.29825353094111356,Pennsylvania
12768320,20,0.29955389589233355,Illinois
11694664,18,0.2943496281723015,Ohio
10545138,16,0.2901659513607124,Georgia
10390149,16,0.29449433304565703,North Carolina
9991177,15,0.28711332008230867,Michigan
9032872,14,0.2964018531426107,New Jersey
8525660,13,0.2916044036473423,Virginia
7530552,12,0.30474260054243035,Washington
7123898,11,0.2952933913427733,Arizona
6895917,11,0.3050558758175309,Massachusetts
6782564,11,0.31015409511801145,Tennessee
6699629,11,0.31399350620758254,Indiana
6135888,10,0.31167452860938794,Missouri
6079602,10,0.3145600649516202,Maryland
5818049,10,0.3287012536333056,Wisconsin
5684203,10,0.3364411862137929,Colorado
5628162,9,0.30581209282888444,Minnesota
5088916,9,0.33821741211684375,South Carolina
4888949,9,0.3520511259168381,Alabama
4682509,8,0.326730818883637,Louisiana
4472265,8,0.3420906408721308,Kentucky
4199563,7,0.3187665002287143,Oregon
3940521,7,0.3397215748881937,Oklahoma
3588683,7,0.37302821118499463,Connecticut
3160553,6,0.36305039023234226,Iowa
3159345,6,0.3631892053574396,Utah
3056824,6,0.37536999186083336,Arkansas
3020327,6,0.37990588436285216,Nevada
2982785,6,0.38468746490276706,Mississippi
2918515,6,0.39315884962044056,Kansas
2090708,5,0.4573570292934259,New Mexico
1932549,5,0.4947869368383415,Nebraska
1803077,5,0.5303156770343141,West Virginia
1753860,4,0.4361579601564549,Idaho
1426393,4,0.5362897882981759,Hawaii
1350575,4,0.5663957943838736,New Hampshire
1341582,4,0.570192504073549,Maine
1062330,4,0.7200775653516327,Rhode Island
1061712,3,0.5403725304037253,Montana
971180,3,0.5907452789390226,Delaware
877790,3,0.6535959625878627,South Dakota
755238,3,0.7596545724658982,North Dakota
738068,3,0.7773267503807239,Alaska
703608,3,0.8153972098100079,District of Columbia
623960,3,0.9194820180780819,Vermont
573720,3,1,Wyoming
